fault_bus,fault_type,fault_R_ohm,Va_mag_pu,Va_ang_deg,Vb_mag_pu,Vb_ang_deg,Vc_mag_pu,Vc_ang_deg,Ia_mag_A,Ia_ang_deg,Ib_mag_A,Ib_ang_deg,Ic_mag_A,Ic_ang_deg
298162,SLG,0,0.167334,-89.2757,1.406199,-157.9929,1.328383,111.8354,7.7685,-58.6317,9.0424,-167.7732,9.8004,60.7175
298162,SLG,10,1.098856,-26.212,1.120902,-144.213,1.096836,95.8721,8.5098,-53.1146,8.5125,-172.528,8.5865,67.1628
298162,SLG,20,1.103645,-25.4168,1.114849,-144.279,1.100963,95.6321,8.5261,-52.7922,8.5374,-172.4965,8.5698,67.2902
298162,SLG,30,1.10521,-25.1496,1.112823,-144.3032,1.102382,95.5531,8.5313,-52.6835,8.5457,-172.4849,8.5641,67.3325
298162,SLG,40,1.105987,-25.0155,1.111808,-144.3158,1.1031,95.5138,8.5339,-52.6289,8.5499,-172.479,8.5613,67.3536
298162,LL,0,0.106883,-137.1324,0.104404,-142.7457,1.397224,96.7218,5.5674,-114.5094,5.4612,-114.9192,11.0285,65.2876
298162,LL,10,1.090409,-25.7397,1.111134,-145.8098,1.109072,96.0082,8.546,-53.3698,8.4812,-173.1955,8.5362,67.094
298162,LL,20,1.09931,-25.1831,1.110117,-145.0839,1.107073,95.7078,8.544,-52.9191,8.5222,-172.8293,8.5447,67.2528
298162,LL,30,1.102296,-24.9943,1.109702,-144.8413,1.106453,95.6053,8.5433,-52.7679,8.5357,-172.7066,8.5474,67.3069
298162,LL,40,1.103792,-24.8993,1.109481,-144.7199,1.106152,95.5536,8.5429,-52.6921,8.5424,-172.6451,8.5487,67.3341
298162,3LG,0,0.006266,-94.5109,0.006267,145.6358,0.006257,25.4479,0.053,-122.3698,0.0532,117.6233,0.0531,-2.4882
298162,3LG,10,1.102312,-25.6002,1.102854,-145.3449,1.099365,94.4109,8.4958,-53.4518,8.5166,-173.4485,8.5066,66.4285
298162,3LG,20,1.105335,-25.1073,1.105839,-144.8513,1.102358,94.9025,8.5189,-52.9593,8.5398,-172.9557,8.5298,66.9213
298162,3LG,30,1.106328,-24.9425,1.10682,-144.6862,1.103341,95.067,8.5265,-52.7945,8.5474,-172.7908,8.5374,67.0861
298162,3LG,40,1.106822,-24.8599,1.107307,-144.6036,1.10383,95.1493,8.5303,-52.712,8.5512,-172.7083,8.5412,67.1686
165448,SLG,0,0.160559,-89.5207,1.411236,-157.7625,1.322683,112.0503,7.7186,-57.7884,9.0875,-167.5734,9.7301,60.7105
165448,SLG,10,1.098685,-26.3445,1.121706,-144.1768,1.095824,95.8903,8.5075,-53.1663,8.5086,-172.5339,8.5892,67.1433
165448,SLG,20,1.103577,-25.4836,1.115248,-144.26,1.100444,95.6404,8.525,-52.8184,8.5354,-172.4998,8.5713,67.2806
165448,SLG,30,1.105169,-25.1942,1.113087,-144.2903,1.102033,95.5585,8.5306,-52.701,8.5444,-172.4873,8.5651,67.3261
165448,SLG,40,1.105957,-25.0491,1.112006,-144.306,1.102837,95.5178,8.5334,-52.6421,8.5489,-172.4807,8.562,67.3488
